user_id,question_id,Probability,TradeWeightBasedonCreationTime,UserweightBasedOnPastAccuracy,settled_value
276,462,0.59999996,0.088060731,0.775,1
1013,127,0.09,0.025393298,0.89999995,0
59,416,0.47,0.009999983,0.935,0
10740,452,0.36000004,0.794536491,0.36,1
276,420,0.92,0.633230542,0.632305038,1
2075,341,0.19000006,0.090544542,0.635999992,0
9638,529,0.96,0.214398771,0.09,0
10138,454,0.45,0.463973625,0.45,0
10769,1034,0.021501461,0.159289181,0.978498539,0
10747,1034,0.030000001,0.159289181,0.969999999,0
45,739,0.13,0.009999864,#N/A,0
6695,739,0.33999997,0.009999864,#N/A,0
91,9,0.695737,0.01311091,0.695737,1
88,78,0.884723,0.023098289,0.781836734,1
88,13,0.78223777,0.01311091,0.777590072,1
5122,739,0.15,0.009999864,#N/A,0
2283,739,0.13,0.009999864,#N/A,0
6708,739,0.68,0.009999864,#N/A,0
45,84,0.36841598,0.010114904,0.89999999,0
8,569,0,0.017781379,0.9844899,0
91,103,0.33873588,0.010114904,0.66126412,0
856,359,0.4358408,0.010289209,0.589365668,0
6,77,0.78999996,0.025115266,0.90589585,1
796,9,0.7598136,0.076253437,0.775928076,1
856,16,0.7126784,0.101094082,0.712470423,0
2075,739,0.30000004,0.009999864,#N/A,0
2283,739,0.13,0.009999864,#N/A,0
6711,739,0.13,0.009999864,#N/A,0
1142,126,0.18499999,0.273191915,0.18499999,1
856,347,0.51214325,0.010948119,0.560210276,0
6,78,0.91,0.023098289,0.93768775,1
94,102,0.38859907,0.010114904,0.716964615,0
45,102,0.4803652,0.010114904,0.764666665,0
14,102,0.38723117,0.010114904,0.804,0
94,103,0.1774717,0.010114904,0.716964615,0
14,103,0.4193679,0.010114904,0.804,0
45,103,0.19999999,0.01023114,0.764666665,0
115,78,0.9231751,0.053355411,0.733239469,1
6727,739,0.13,0.009999864,#N/A,0
108,103,0.37402475,0.010467634,0.88476872,0
6739,739,0.51,0.009999864,#N/A,0
796,126,0.35045147,0.036586338,0.979999997,1
1239,338,0.19999993,0.017272238,0.976563204,0
108,9,0.53885686,0.015012405,0.70942843,1
6748,739,0.20000002,0.009999864,#N/A,0
2113,193,0.44,0.06190221,0.608460438,1
2062,226,0.7599999,0.047048815,0.89,1
1239,445,0.62,0.013425552,0.650199913,1
108,77,0.81999993,0.063080673,0.841965373,1
796,9,0.9608461,0.076253437,0.775928076,1
796,13,0.897286,0.072887594,0.775928076,1
10162,1026,0.16999997,0.02714493,0.959999998,0
45,1091,0.20000002,0.088930836,0.89999999,0
6749,739,0.2,0.009999864,#N/A,0
6768,739,0.58,0.009999864,#N/A,0
1025,225,0.43499994,0.011826043,0.975647178,0
4769,739,0.2,0.009999864,#N/A,0
45,103,0.37399998,0.010587924,0.764666665,0
114,268,0.44262317,0.222680317,#N/A,1
6772,739,0.53,0.009999864,#N/A,0
4769,739,0.20000002,0.009999864,#N/A,0
6779,739,0.2,0.009999864,#N/A,0
6782,739,0.19000001,0.009999864,#N/A,0
6785,739,0.19,0.009999864,#N/A,0
6791,739,0.27,0.009999864,#N/A,0
6796,739,0.5,0.009999864,#N/A,0
6791,739,0.69,0.009999864,#N/A,0
784,102,0.8157754,0.01561449,0.37189124,0
45,103,0.20000002,0.010587924,0.764666665,0
39,103,0.37022105,0.015793925,0.62977895,0
856,358,0.51316255,0.010289209,0.589365668,0
856,199,0.39800292,0.015989506,0.62412244,0
10740,880,0.15,0.236466536,0.85,0
6798,739,0.69,0.009999864,#N/A,0
2075,739,0.39999995,0.009999864,#N/A,0
8,570,0,0.017781379,0.9844899,0
2315,747,0.22448978,0.03471194,0.74999997,0
807,127,0.185,0.014411623,0.815,0
296,765,0.20999998,0.025453764,0.970000001,0
856,231,0.59956384,0.015237272,0.560210276,0
6,77,0.85,0.158436355,0.90589585,1
2283,739,0.34000003,0.009999864,#N/A,0
6803,739,0.8,0.009999864,#N/A,0
6809,739,0.8,0.009999864,#N/A,0
2075,739,0.4,0.009999864,#N/A,0
809,144,0.29138818,0.010255509,0.70861182,0
114,103,0.30000004,0.010587924,0.61387944,0
59,103,0.24999997,0.010709596,0.769999995,0
4,103,0.14849354,0.010832666,0.693099,0
85,103,0.55999994,0.026111373,0.720999999,0
45,341,0.24999997,0.087432718,0.904000002,0
10740,1040,0.18000002,0.164082614,0.81999998,0
296,1075,0.27,0.009999965,0.884999995,0
6816,739,0.4,0.009999864,#N/A,0
59,10,0.3,0.017189676,0.847956575,0
2283,739,0.34,0.009999864,#N/A,0
6822,739,0.34,0.009999864,#N/A,0
45,739,0.3,0.009999864,#N/A,0
85,155,0.57000005,0.34320322,0.85050003,1
6826,739,0.3,0.009999864,#N/A,0
6827,739,0.54999995,0.009999864,#N/A,0
133,78,0.9450071,0.187316683,0.9450071,1
6,78,0.92000014,0.187316683,0.93768775,1
6,77,0.99,0.251092711,0.90589585,1
45,739,0.50000006,0.009999864,#N/A,0
8,571,0,0.017781379,0.9844899,0
14,203,0.41863784,0.188823989,0.970468007,1
856,361,0.66761726,0.010349588,0.589365668,1
59,76,0.54999995,0.010952205,0.687640115,0
136,103,0.19276242,0.010832666,0.80723758,0
148,103,0.22424676,0.01095715,0.77575324,0
6,77,0.9335134,0.397936127,0.90589585,1
6835,739,0.5,0.009999864,#N/A,0
856,360,0.6183918,0.010256934,0.589365668,0
6782,739,0.19999999,0.009999864,#N/A,0
6857,739,0.20000002,0.009999864,#N/A,0
45,739,0.26,0.009999864,#N/A,0
6867,739,0.45999998,0.009999864,#N/A,0
45,739,0.43,0.009999864,#N/A,0
6869,739,0.43000004,0.009999864,#N/A,0
176,269,0.55634904,0.134993565,#N/A,1
856,12,0.33126962,0.10223581,0.712470423,0
809,127,0.15484716,0.014411623,0.84515284,0
65,102,0.2999153,0.011210426,0.29735696,0
8,572,0,0.017781379,0.9844899,0
122,103,0.22999999,0.011210426,0.96,0
39,77,0.6,0.009999523,0.6,1
25,52,0.4,0.119344784,0.4,1
6868,739,0.43,0.009999864,#N/A,0
45,739,0.40000004,0.009999864,#N/A,0
6873,739,0.4,0.009999864,#N/A,0
6876,739,0.16,0.009999864,#N/A,0
45,739,0.2,0.009999864,#N/A,0
6879,739,0.2,0.009999864,#N/A,0
6889,739,0.59999996,0.009999864,#N/A,0
6782,739,0.20000002,0.009999864,#N/A,0
6899,739,0.20000002,0.009999864,#N/A,0
6899,739,0.2,0.009999864,#N/A,0
153,52,0.36999997,0.142468399,0.36999997,1
6903,739,0.47999996,0.009999864,#N/A,0
6782,739,0.20000002,0.009999864,#N/A,0
154,102,0.30314347,0.011339252,0.69685653,0
54,78,0.82,0.009999566,0.767916682,1
54,77,0.91,0.009999523,0.701250017,1
13,78,0.86,0.009999566,0.872499993,1
13,77,0.90999997,0.009999523,0.897499978,1
115,77,0.8651881,0.063080673,0.810128093,1
6,78,0.94,0.123247219,0.93768775,1
153,103,0.4,0.011210426,0.60000001,0
6905,739,0.20000002,0.009999864,#N/A,0
6915,739,0.55999994,0.009999864,#N/A,0
6916,739,0.59,0.009999864,#N/A,0
6782,739,0.19999999,0.009999864,#N/A,0
148,78,0.5975923,0.432688268,0.592163,1
176,269,0.5500001,0.134993565,#N/A,1
6919,739,0.73999995,0.009999864,#N/A,0
6782,739,0.20000002,0.009999864,#N/A,0
6921,739,0.23000002,0.009999864,#N/A,0
154,9,0.35000002,0.02059164,0.488750015,1
159,13,0.87,0.02059164,0.87,1
153,84,0.42000002,0.011210426,0.48999994,0
153,102,0.39999998,0.011210426,0.60000001,0
154,5,0.5,0.012826149,0.5,0
122,78,0.95,0.999479244,0.819499905,1
122,78,0.96000004,0.999479244,0.819499905,1
6782,739,0.19999999,0.009999864,#N/A,0
6929,739,0.20000002,0.009999864,#N/A,0
175,9,0.42499998,0.022537334,0.42499998,1
176,16,0.6,0.014924301,0.782552966,0
6938,739,0.47999996,0.009999864,#N/A,0
6782,739,0.20000002,0.009999864,#N/A,0
6950,739,0.20000002,0.009999864,#N/A,0
2075,739,0.21,0.009999864,#N/A,0
934,9,0.833367,0.309057677,0.666336245,1
4769,739,0.18000002,0.009999864,#N/A,0
856,232,0.3924448,0.017376979,0.551838518,1
175,102,0.4748971,0.011601361,0.60439515,0
185,102,0.58744854,0.011601361,0.608177355,0
175,103,0.23262522,0.011469557,0.60439515,0
108,17,0.24139796,0.107198799,0.75860204,0
10077,204,0.024834856,0.542416411,0.961849998,0
796,376,0.39000002,0.045287909,0.8975,0
2283,341,0.24999985,0.090544542,0.758333312,0
6964,739,0.18,0.009999864,#N/A,0
176,17,0.19569899,0.123250786,0.886845517,0
172,9,0.36249998,0.022537334,0.371603035,1
372,739,0.18000002,0.009999864,#N/A,0
188,102,0.73,0.011601361,0.585000005,0
6966,739,0.18,0.009999864,#N/A,0
6967,739,0.51,0.009999864,#N/A,0
828,127,0.11735219,0.014677381,0.88264781,0
172,103,0.26525036,0.011469557,0.8498289,0
856,128,0.38292566,0.02578785,0.3924448,0
1607,448,0.41576436,0.015198432,0.684314548,0
108,51,0.6600001,0.203024638,0.325105817,0
1025,155,0.59825194,0.193008873,0.786949559,1
45,739,0.39999998,0.009999864,#N/A,0
2075,739,0.37,0.009999864,#N/A,0
6970,739,0.37,0.009999864,#N/A,0
2075,739,0.38,0.009999864,#N/A,0
8,573,0,0.017781379,0.9844899,0
6782,739,0.19999999,0.009999864,#N/A,0
201,103,0.10000001,0.011601361,0.8154796,0
205,10,0.21,0.022537334,0.744939885,0
199,9,0.45000002,0.022537334,0.68500001,1
199,103,0.125,0.011601361,0.4675,0
199,13,0.92,0.022537334,0.68500001,1
1219,155,0.6030935,0.193008873,0.787326749,1
45,739,0.28,0.009999864,#N/A,0
2075,739,0.27,0.009999864,#N/A,0
172,17,0.15406737,0.123250786,0.856526773,0
201,1,0.99,0.025116351,#N/A,1
201,1,0.9900933,0.025116351,#N/A,1
201,84,0.5,0.011734678,0.645246241,0
213,102,0.75000006,0.011734678,0.524999975,0
213,103,0.19999999,0.011734678,0.524999975,0
856,355,0.46800023,0.010439724,0.589365668,1
201,103,0.19790015,0.011734678,0.8154796,0
2299,739,0.24000002,0.009999864,#N/A,0
2075,739,0.25,0.009999864,#N/A,0
2075,739,0.24000001,0.009999864,#N/A,0
836,9,0.8,0.07977471,0.8,1
176,269,0.5205844,0.182278029,#N/A,1
5282,739,0.18,0.009999864,#N/A,0
218,103,0.049999997,0.011734678,0.80000001,0
218,103,0.049999997,0.011734678,0.80000001,0
201,17,0.16370021,0.141706403,0.681922647,0
1219,61,0.3865077,0.408772216,0.6134923,0
222,103,0.10000001,0.011734678,0.89999999,0
122,103,0.11,0.011869528,0.96,0
2075,739,0.18999998,0.009999864,#N/A,0
2283,739,0.17,0.009999864,#N/A,0
2075,739,0.17999999,0.009999864,#N/A,0
176,19,0.6999999,0.187322104,0.64170884,1
85,126,0.75,0.010669969,0.76750003,1
161,9,0.37206617,0.024666877,0.609317096,1
161,13,0.7546649,0.024666877,0.609317096,1
8,574,0,0.017781379,0.9844899,0
2299,739,0.17,0.009999864,#N/A,0
45,739,0.18,0.009999864,#N/A,0
841,103,0.51384044,0.015975422,0.48615956,0
176,51,0.5438156,0.345377506,0.64170884,0
176,51,0.6999999,0.345377506,0.64170884,0
161,19,0.21027322,0.16292557,0.411136232,1
161,22,0.59671,0.048930549,0.411136232,1
2283,739,0.17,0.009999864,#N/A,0
2075,739,0.18,0.009999864,#N/A,0
45,452,0.35,0.794536491,0.682896467,1
2075,739,0.16000001,0.01300972,#N/A,0
296,739,0.13999999,0.037270344,#N/A,0
2075,739,0.16000001,0.106772364,#N/A,0
6782,739,0.18,0.121785558,#N/A,0
2075,739,0.18,0.180720153,#N/A,0
5282,739,0.18,0.180720153,#N/A,0
176,19,0.71346694,0.247621631,0.64170884,1
841,9,0.6499999,0.07977471,0.6499999,1
59,13,0.77,0.026997639,0.844904209,1
4769,739,0.22000001,0.206131099,#N/A,0
856,346,0.50692147,0.0110691,0.560210276,1
10611,1092,0.22999999,0.061347355,0.900000006,0
2075,739,0.20999998,0.206131099,#N/A,0
85,739,0.19,0.206131099,#N/A,0
176,1092,0.19999997,0.061347355,0.949999999,0
232,5,0.6,0.014129733,0.375,0
10405,1092,0.16000001,0.074582258,0.80313726,0
10580,1092,0.8027308,0.083390264,0.74670778,0
59,52,0.23000002,0.492180327,0.77021359,1
176,51,0.6924418,0.412296027,0.64170884,0
2075,739,0.18000002,0.206131099,#N/A,0
2315,739,0.16999999,0.206131099,#N/A,0
2058,739,0.14838232,0.235115062,#N/A,0
2283,739,0.14,0.235115062,#N/A,0
2075,739,0.12999998,0.397949699,#N/A,0
2285,474,0.6095528,0.59922742,0.82570972,1
372,739,0.120000005,0.453905153,#N/A,0
122,17,0.25000003,0.327331751,0.882499986,0
317,153,0.29833722,0.009999981,0.70166278,0
5122,737,0.45000002,0.055231768,0.679841547,0
296,649,0.75,0.125118361,0.890099584,1
5122,372,0.15179658,0.099975954,0.82499999,0
233,103,0.105000004,0.012283447,0.894999996,0
176,51,0.68428373,0.587542588,0.64170884,0
59,128,0.45,0.009999988,0.88,0
45,128,0.2,0.009999988,0.654999995,0
296,1068,0.12,0.009999963,0.700000001,0
296,1051,0.120000005,0.015325331,0.766979782,0
296,739,0.13000001,0.453905153,#N/A,0
8987,739,0.120000005,0.453905153,#N/A,0
296,739,0.13,0.453905153,#N/A,0
8997,739,0.14376204,0.453905153,#N/A,0
4769,687,0.19000001,0.348506758,0.706643847,0
9685,341,0.16,0.087432718,0.860000015,0
176,19,0.79717314,0.497493561,0.64170884,1
122,126,0.75,0.009999933,0.934000013,1
296,1040,0.20000002,0.164082614,0.890099584,0
2299,739,0.12,0.517728467,#N/A,0
296,739,0.13000001,0.517728467,#N/A,0
96,127,0.20667914,0.010372192,0.79332086,0
239,127,0.17833957,0.010372192,0.82166043,0
242,103,0.14,0.013005635,0.86,0
7,128,0.37080005,0.010366278,0.715000012,0
296,1073,0.37,0.009999963,0.970000001,0
10580,1092,0.79999995,0.083390264,0.74670778,0
10229,1092,0.5,0.11335348,0.99,0
9845,1092,0.35000002,0.149842293,0.866746753,0
161,51,0.5111782,0.345377506,0.411136232,0
1981,474,0.6096226,0.094244535,0.76156956,1
2179,474,0.6369543,0.098027612,0.580459272,1
2190,474,0.6542855,0.110312609,0.597457958,1
1981,474,0.6491376,0.110312609,0.76156956,1
2062,474,0.64571416,0.114740675,0.89,1
2150,474,0.61369085,0.114740675,0.76275998,1
2062,474,0.5942855,0.124137184,0.89,1
2299,474,0.5885535,0.145301758,0.618789245,1
2026,474,0.5314219,0.151134326,0.619308971,1
2299,474,0.5342797,0.163511236,0.618789245,1
2190,474,0.5571264,0.163511236,0.597457958,1
2285,474,0.5398083,0.199071379,0.82570972,1
8997,474,0.6332121,0.59922742,0.72756556,1
2084,474,0.59013057,0.59922742,0.76353434,1
5282,474,0.5914292,0.59922742,0.92,1
8920,474,0.5914075,0.59922742,0.7276491,1
5282,474,0.5914076,0.59922742,0.92,1
2113,478,0.63999987,0.129120183,0.71,1
296,338,0.24,0.090042171,0.885199163,0
176,269,0.4473738,0.669719759,#N/A,1
23,52,0.62107086,0.014250242,0.62107086,1
8920,474,0.5999743,0.623281049,0.7276491,1
856,207,0.5277779,0.015248479,0.50000003,1
296,341,0.16999997,0.090544542,0.885199163,0
8920,474,0.5914275,0.648300217,0.7276491,1
201,130,0.49511212,0.010189714,0.619064749,1
241,127,0.10242918,0.010372192,0.89757082,0
7,126,0.775,0.012147736,0.715000012,1
241,103,0.08046256,0.012857878,0.91953744,0
856,213,0.5414478,0.016086726,0.589365668,0
45,128,0.27,0.010491332,0.654999995,0
5282,474,0.58571464,0.729546371,0.92,1
9420,474,0.6028521,0.758831143,0.599160204,1
9420,474,0.59928346,0.758831143,0.599160204,1
5282,474,0.585714,0.758831143,0.92,1
2058,474,0.5857121,0.758831143,0.900000006,1
2084,474,0.58016485,0.789291436,0.76353434,1
292,102,0.8008402,0.014088587,0.544579905,0
88,17,0.08272707,0.020090586,0.836311918,0
275,103,0.120000005,0.013928526,0.539579898,0
5122,474,0.585714,0.789291436,0.658053689,1
122,61,0.24999997,0.078182447,0.56250014,0
2084,474,0.5803336,0.789291436,0.76353434,1
286,127,0.08372507,0.01200483,0.91627493,0
796,203,0.4316767,0.245658068,0.769869693,1
176,19,0.96999997,0.756113155,0.64170884,1
8935,765,0.24000004,0.031095642,0.906313479,0
253,130,0.39755607,0.010580028,0.39755607,1
880,130,0.7107205,0.011954807,0.7107205,1
5122,474,0.58571476,0.789291436,0.658053689,1
8935,765,0.2699998,0.033241608,0.906313479,0
868,102,0.6251368,0.016159004,0.4927225,0
872,103,0.29512385,0.016159004,0.741912439,0
85,103,0.35,0.016159004,0.720999999,0
861,154,0.6,0.009999987,0.6,1
862,127,0.08893633,0.01494804,0.91106367,0
8920,375,0.74302274,0.05058341,0.8299999,1
8920,374,0.35000005,0.112026317,0.8299999,0
176,269,0.43512866,0.740230311,#N/A,1
2085,687,0.15307467,0.088930836,0.690631833,0
122,61,0.58000004,0.081756958,0.56250014,0
312,102,0.25,0.014088587,0.694999951,0
312,103,0.009999999,0.014088587,0.694999951,0
317,103,0.23580022,0.014250486,0.76419978,0
868,103,0.3894182,0.016159004,0.4927225,0
924,154,0.79616416,0.010388965,0.79616416,1
14,154,0.98034817,0.805154353,0.7693543,1
2111,474,0.58558476,0.789291436,0.7496443,1
2315,584,0.6124025,0.036593877,0.652199695,0
45,84,0.31000003,0.016344697,0.89999999,0
2283,474,0.58558315,0.789291436,0.950000007,1
8987,474,0.57999814,0.789291436,0.75,1
335,103,0.1929001,0.014250486,0.70977306,0
352,128,0.19517232,0.011547633,0.80482768,0
2315,718,0.44380882,0.027063668,0.665880768,0
8935,474,0.5857171,0.789291436,0.969999999,1
8997,474,0.5915568,0.789291436,0.72756556,1
2283,474,0.5857114,0.789291436,0.950000007,1
5282,728,0.37999997,0.397953228,0.931916667,0
359,102,0.9499999,0.014414247,0.074999975,0
5021,153,0.09999998,0.698499242,0.968149172,0
5282,737,0.44999996,0.052671116,0.915000005,0
4769,737,0.46999997,0.073432355,0.909999989,0
69,79,0.27,0.012270927,0.73,0
115,79,0.21,0.012270927,0.682695513,0
360,103,0.13365288,0.014414247,0.86634712,0
363,103,0.16682643,0.014414247,0.83317357,0
39,130,0.37500003,0.011089013,0.37500003,1
1981,489,0.6752907,0.090452539,0.76156956,1
2185,489,0.68857354,0.110501523,0.69,1
59,22,0.87,0.417366935,0.77021359,1
277,9,0.28040755,0.055592826,0.572441124,1
277,13,0.78499997,0.055592826,0.572441124,1
85,61,0.4799998,0.057174322,0.652727311,0
85,103,0.19999997,0.014747435,0.720999999,0
796,193,0.56298274,0.010273736,0.783227714,1
796,195,0.5166851,0.010273736,0.783227714,0
369,128,0.15396902,0.011970612,0.84603098,0
2113,489,0.62000024,0.124605373,0.71,1
2185,489,0.6356079,0.124605373,0.69,1
2299,489,0.63140893,0.140509365,0.618789245,1
59,129,0.25,0.011557131,0.847956575,1
59,61,0.5,0.057174322,0.77021359,0
59,129,0.3,0.011557131,0.847956575,1
39,129,0.23789012,0.011557131,0.23789012,1
369,129,0.19394507,0.011710184,0.19394507,1
1338,372,0.46731207,0.009999983,0.45801254,0
59,145,0.33,0.010517559,0.88,0
367,84,0.5474133,0.014747435,0.868488903,0
380,84,0.415,0.014916906,0.585,0
39,103,0.0992911,0.014747435,0.62977895,0
274,103,0.07524859,0.014747435,0.92475141,0
85,103,0.25,0.014747435,0.720999999,0
887,154,0.69347596,0.010128001,0.69347596,1
2460,489,0.74860203,0.152224401,0.74860203,1
232,129,0.24697253,0.011865264,0.24697253,1
2646,489,0.66946685,0.158443262,0.6694671,1
45,389,0.068965524,0.026780292,0.89999999,0
2299,489,0.6742782,0.158443262,0.618789245,1
1220,127,0.17475107,0.028858178,0.755070642,0
9643,1083,0.34499997,0.013894244,0.707293015,0
5122,1083,0.3,0.01637782,0.74999991,0
85,154,0.6600001,0.010128001,0.732727278,1
796,199,0.47001448,0.010256934,0.7069186,0
85,130,0.67999995,0.012067679,0.732727278,1
59,374,0.5,0.020862086,0.77021359,0
427,126,0.57987624,0.02822634,0.726378155,1
2062,444,0.25000003,0.502704791,0.674523822,0
1981,444,0.2176499,0.502704791,0.679333303,0
1338,372,0.46731207,0.009999983,0.45801254,0
8,595,0,0.014924026,0.9844899,0
1947,444,0.2176499,0.502704791,0.704752343,0
2111,444,0.18382497,0.502704791,0.695714471,0
2062,444,0.21999997,0.502704791,0.674523822,0
2033,444,0.21999997,0.502704791,0.756331457,0
2111,444,0.35999998,0.502704791,0.695714471,0
2026,444,0.29,0.502704791,0.70939394,0
2315,791,0.41684034,0.01471113,0.74999997,0
431,102,0.82499987,0.015088324,0.583617413,0
427,128,0.12711993,0.01211502,0.726378155,0
2113,489,0.66285163,0.158443262,0.71,1
2150,489,0.66285425,0.158443262,0.76275998,1
65,396,0.25500003,0.014839109,0.715843518,0
110,536,0.145,0.021542388,0.855,0
2150,489,0.6628544,0.158443262,0.76275998,1
14,765,0.32707536,0.033241608,0.989662836,0
2150,489,0.6628541,0.158443262,0.76275998,1
232,5,0.625,0.019964964,0.375,0
4,374,0.7467973,0.012777681,0.2532027,0
59,129,0.48,0.013009879,0.847956575,1
909,102,0.5395243,0.016532523,0.56,0
431,103,0.007765304,0.015088324,0.583617413,0
2134,489,0.68285704,0.164916184,0.614341696,1
2084,687,0.22077422,0.013663986,0.741667373,0
7,418,0.04,0.139890403,0.940000005,0
457,103,0.15388264,0.015088324,0.84611736,0
427,13,0.8286483,0.063655536,0.52807008,1
59,155,0.4,0.010856926,0.735000004,1
8,597,0,0.014924026,0.9844899,0
85,103,0.23,0.015088324,0.720999999,0
232,103,0.39335743,0.015088324,0.53658261,0
2084,189,0.48702145,0.060749663,0.687126485,0
2978,489,0.7271398,0.164916184,0.7271398,1
2185,489,0.7085632,0.164916184,0.69,1
3242,489,0.68070847,0.164916184,0.69771582,1
464,127,0.14086294,0.013395846,0.85913706,0
85,155,0.42000002,0.011787385,0.85050003,1
1220,169,0.73132783,0.016291408,0.755070642,1
483,102,0.82499987,0.015088324,0.3641607,0
491,103,0.57237744,0.015088324,0.42762256,0
491,128,0.123169184,0.012261171,0.876830816,0
495,128,0.09247334,0.012261171,0.67269493,0
3388,489,0.666604,0.164916184,0.65285647,1
2315,489,0.6628558,0.164916184,0.74999997,1
482,14,0.55,0.024893914,0.53938233,0
474,127,0.10794467,0.013395846,0.89205533,0
8987,765,0.35000017,0.033241608,0.740000025,0
453,84,0.415,0.015088324,0.66372047,0
85,157,0.11000001,0.010651029,0.85050003,0
482,16,0.655253,0.024893914,0.53938233,0
497,102,0.66249996,0.015088324,0.33750004,0
483,103,0.44667873,0.015088324,0.3641607,0
466,128,0.096338876,0.01211502,0.903661124,0
5282,718,0.68,0.013094956,0.752001578,0
3388,489,0.65285647,0.164916184,0.65285647,1
2075,489,0.66571474,0.164916184,0.80000001,1
912,144,0.35478058,0.010786306,0.64521942,0
934,273,0.5999999,0.367325091,#N/A,0
176,222,0.45328832,0.215372883,0.92,0
36,444,0.19000001,0.502704791,0.777218901,0
2062,444,0.21999998,0.502704791,0.674523822,0
915,103,0.4913951,0.016532523,0.37391537,0
915,61,0.7900001,0.089403732,0.2099999,0
2075,444,0.10000001,0.502704791,0.690666663,0
695,154,0.7423283,0.010257653,0.7423283,1
500,128,0.22160456,0.012261171,0.64701654,0
2075,418,0.049999993,0.139890403,0.635999992,0
3734,489,0.6435681,0.164916184,0.6435681,1
4332,489,0.674212,0.164916184,0.674212,1
2085,765,0.49481612,0.05303463,0.68903467,0
505,84,0.33252338,0.015261713,0.59337078,0
4079,489,0.7228133,0.164916184,0.7228133,1
2315,778,0.55729896,0.01523725,0.638493106,1
4589,489,0.7721186,0.164916184,0.7721186,1
4625,489,0.77211887,0.164916184,0.77211887,1
503,102,0.7937895,0.015088324,0.28792655,0
501,103,0.51225364,0.015088324,0.48774636,0
4648,489,0.77211976,0.164916184,0.77211976,1
232,102,0.82189476,0.015088324,0.53658261,0
484,103,0.45978597,0.015088324,0.68892005,0
915,155,0.37391537,0.011787385,0.37391537,1
4681,489,0.69676805,0.164916184,0.69676805,1
